"species_name","SET","Len Sample Count","weight_count","Sex Sample Count","Maturity Sample Count","Otolith Sample Count","DNA Sample Count","Sample_count","Proportion Males","malelen","femlen","nosexlen","Rougheye","Blackspotted","Hybrid"
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",5,2,2,2,2,2,2,2,0.5,481,526,0,2,0,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",14,7,7,7,7,7,7,7,0.57,457,494,0,5,2,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",20,11,11,11,11,11,11,11,0.55,484,487,0,8,3,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",23,4,4,4,4,4,4,4,0.5,468,483,0,2,2,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",31,1,1,1,1,1,1,1,0,0,516,0,1,0,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",34,1,1,1,1,1,1,1,1,389,0,0,1,0,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",37,3,3,3,3,3,3,3,0.67,485,525,0,3,0,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",42,1,1,1,1,1,1,1,0,0,450,0,0,1,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",50,1,1,1,1,1,1,1,0,0,667,0,1,0,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",55,18,18,18,18,18,18,18,0.61,450,438,0,4,14,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",65,1,1,1,1,1,1,1,1,533,0,0,0,1,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",69,3,3,3,3,3,3,3,0.67,518,546,0,1,2,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",71,25,25,25,25,25,25,25,0.44,498,498,0,9,16,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",72,3,3,3,3,3,3,3,0.33,490,483,0,1,2,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",77,2,2,2,2,2,2,2,0.5,581,574,0,1,1,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",83,22,22,22,22,22,22,22,0.5,464,471,0,14,8,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",84,2,2,2,2,2,2,2,1,470,0,0,2,0,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",85,11,11,10,10,11,11,11,0.5,458,477,408,8,3,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",86,2,2,2,2,2,2,2,0.5,495,459,0,2,0,0
"ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX",87,6,6,6,6,6,6,6,0.67,486,492,0,3,3,0
