"YEAR","SABLE_AREA_GROUP","SABLE_DEPTH_GROUP","subL","Leg","combo","combo2","polarorder"
2003,"S1","RD1",20.5,79.5,"S1RD1","S1RD12003",0
2003,"S1","RD2",39.8,60.2,"S1RD2","S1RD22003",1
2003,"S1","RD3",26.8,73.2,"S1RD3","S1RD32003",2
2003,"S2","RD1",13.5,86.5,"S2RD1","S2RD12003",3
2003,"S2","RD2",16.3,83.7,"S2RD2","S2RD22003",4
2003,"S2","RD3",47.8,52.2,"S2RD3","S2RD32003",5
2003,"S3","RD1",22.8,77.2,"S3RD1","S3RD12003",6
2003,"S3","RD2",18.9,81.1,"S3RD2","S3RD22003",7
2003,"S3","RD3",18.9,81.1,"S3RD3","S3RD32003",8
2003,"S4","RD1",17.1,82.9,"S4RD1","S4RD12003",9
2003,"S4","RD2",17.6,82.4,"S4RD2","S4RD22003",10
2003,"S4","RD3",22.2,77.8,"S4RD3","S4RD32003",11
2003,"S5","RD1",49.8,50.2,"S5RD1","S5RD12003",12
2003,"S5","RD2",24,76,"S5RD2","S5RD22003",13
2003,"S5","RD3",8.8,91.2,"S5RD3","S5RD32003",14
2004,"S1","RD1",19.7,80.3,"S1RD1","S1RD12004",0
2004,"S1","RD2",21.8,78.2,"S1RD2","S1RD22004",1
2004,"S1","RD3",16,84,"S1RD3","S1RD32004",2
2004,"S2","RD1",5.2,94.8,"S2RD1","S2RD12004",3
2004,"S2","RD2",15.4,84.6,"S2RD2","S2RD22004",4
2004,"S2","RD3",9.2,90.8,"S2RD3","S2RD32004",5
2004,"S3","RD1",10.8,89.2,"S3RD1","S3RD12004",6
2004,"S3","RD2",19.9,80.1,"S3RD2","S3RD22004",7
2004,"S3","RD3",18.4,81.6,"S3RD3","S3RD32004",8
2004,"S4","RD1",,100,"S4RD1","S4RD12004",9
2004,"S4","RD2",9.2,90.8,"S4RD2","S4RD22004",10
2004,"S4","RD3",5.3,94.7,"S4RD3","S4RD32004",11
2004,"S5","RD1",4.4,95.6,"S5RD1","S5RD12004",12
2004,"S5","RD2",25.5,74.5,"S5RD2","S5RD22004",13
2004,"S5","RD3",17.9,82.1,"S5RD3","S5RD32004",14
2005,"S1","RD1",14.2,85.8,"S1RD1","S1RD12005",0
2005,"S1","RD2",16.6,83.4,"S1RD2","S1RD22005",1
2005,"S1","RD3",31.8,68.2,"S1RD3","S1RD32005",2
2005,"S2","RD1",1.5,98.5,"S2RD1","S2RD12005",3
2005,"S2","RD2",12.6,87.4,"S2RD2","S2RD22005",4
2005,"S2","RD3",17.4,82.6,"S2RD3","S2RD32005",5
2005,"S3","RD1",3,97,"S3RD1","S3RD12005",6
2005,"S3","RD2",18.1,81.9,"S3RD2","S3RD22005",7
2005,"S3","RD3",7.4,92.6,"S3RD3","S3RD32005",8
2005,"S4","RD1",4.3,95.7,"S4RD1","S4RD12005",9
2005,"S4","RD2",11.7,88.3,"S4RD2","S4RD22005",10
2005,"S4","RD3",6.8,93.2,"S4RD3","S4RD32005",11
2005,"S5","RD1",18.3,81.7,"S5RD1","S5RD12005",12
2005,"S5","RD2",30.7,69.3,"S5RD2","S5RD22005",13
2005,"S5","RD3",7.5,92.5,"S5RD3","S5RD32005",14
2006,"S1","RD1",4.8,95.2,"S1RD1","S1RD12006",0
2006,"S1","RD2",25.5,74.5,"S1RD2","S1RD22006",1
2006,"S1","RD3",24.9,75.1,"S1RD3","S1RD32006",2
2006,"S2","RD1",3.1,96.9,"S2RD1","S2RD12006",3
2006,"S2","RD2",19.4,80.6,"S2RD2","S2RD22006",4
2006,"S2","RD3",19.1,80.9,"S2RD3","S2RD32006",5
2006,"S3","RD1",1.4,98.6,"S3RD1","S3RD12006",6
2006,"S3","RD2",12.7,87.3,"S3RD2","S3RD22006",7
2006,"S3","RD3",20.4,79.6,"S3RD3","S3RD32006",8
2006,"S4","RD1",0.7,99.3,"S4RD1","S4RD12006",9
2006,"S4","RD2",12.2,87.8,"S4RD2","S4RD22006",10
2006,"S4","RD3",14.3,85.7,"S4RD3","S4RD32006",11
2006,"S5","RD1",4.2,95.8,"S5RD1","S5RD12006",12
2006,"S5","RD2",9.4,90.6,"S5RD2","S5RD22006",13
2006,"S5","RD3",12,88,"S5RD3","S5RD32006",14
2007,"S1","RD1",18.4,81.6,"S1RD1","S1RD12007",0
2007,"S1","RD2",27.4,72.6,"S1RD2","S1RD22007",1
2007,"S1","RD3",22.3,77.7,"S1RD3","S1RD32007",2
2007,"S2","RD1",7.8,92.2,"S2RD1","S2RD12007",3
2007,"S2","RD2",9.8,90.2,"S2RD2","S2RD22007",4
2007,"S2","RD3",14.1,85.9,"S2RD3","S2RD32007",5
2007,"S3","RD1",2.4,97.6,"S3RD1","S3RD12007",6
2007,"S3","RD2",17.7,82.3,"S3RD2","S3RD22007",7
2007,"S3","RD3",7.9,92.1,"S3RD3","S3RD32007",8
2007,"S4","RD1",3.3,96.7,"S4RD1","S4RD12007",9
2007,"S4","RD2",6,94,"S4RD2","S4RD22007",10
2007,"S4","RD3",1.8,98.2,"S4RD3","S4RD32007",11
2007,"S5","RD1",2.4,97.6,"S5RD1","S5RD12007",12
2007,"S5","RD2",17.1,82.9,"S5RD2","S5RD22007",13
2007,"S5","RD3",17.8,82.2,"S5RD3","S5RD32007",14
2008,"S1","RD1",10.3,89.7,"S1RD1","S1RD12008",0
2008,"S1","RD2",15.6,84.4,"S1RD2","S1RD22008",1
2008,"S1","RD3",5.1,94.9,"S1RD3","S1RD32008",2
2008,"S2","RD1",0.6,99.4,"S2RD1","S2RD12008",3
2008,"S2","RD2",24.3,75.7,"S2RD2","S2RD22008",4
2008,"S2","RD3",4.8,95.2,"S2RD3","S2RD32008",5
2008,"S3","RD1",2.4,97.6,"S3RD1","S3RD12008",6
2008,"S3","RD2",15.7,84.3,"S3RD2","S3RD22008",7
2008,"S3","RD3",19.7,80.3,"S3RD3","S3RD32008",8
2008,"S4","RD1",,100,"S4RD1","S4RD12008",9
2008,"S4","RD2",1.7,98.3,"S4RD2","S4RD22008",10
2008,"S4","RD3",7.9,92.1,"S4RD3","S4RD32008",11
2008,"S5","RD1",,100,"S5RD1","S5RD12008",12
2008,"S5","RD2",8.2,91.8,"S5RD2","S5RD22008",13
2008,"S5","RD3",9.1,90.9,"S5RD3","S5RD32008",14
2009,"S1","RD1",13.9,86.1,"S1RD1","S1RD12009",0
2009,"S1","RD2",25,75,"S1RD2","S1RD22009",1
2009,"S1","RD3",5.4,94.6,"S1RD3","S1RD32009",2
2009,"S2","RD1",10.3,89.7,"S2RD1","S2RD12009",3
2009,"S2","RD2",10.7,89.3,"S2RD2","S2RD22009",4
2009,"S2","RD3",8.3,91.7,"S2RD3","S2RD32009",5
2009,"S3","RD1",2.9,97.1,"S3RD1","S3RD12009",6
2009,"S3","RD2",24.8,75.2,"S3RD2","S3RD22009",7
2009,"S3","RD3",8.5,91.5,"S3RD3","S3RD32009",8
2009,"S4","RD1",4.1,95.9,"S4RD1","S4RD12009",9
2009,"S4","RD2",4.3,95.7,"S4RD2","S4RD22009",10
2009,"S4","RD3",5.6,94.4,"S4RD3","S4RD32009",11
2009,"S5","RD1",19.8,80.2,"S5RD1","S5RD12009",12
2009,"S5","RD2",10.4,89.6,"S5RD2","S5RD22009",13
2009,"S5","RD3",2.7,97.3,"S5RD3","S5RD32009",14
2010,"S1","RD1",28.5,71.5,"S1RD1","S1RD12010",0
2010,"S1","RD2",53.4,46.6,"S1RD2","S1RD22010",1
2010,"S1","RD3",6.3,93.7,"S1RD3","S1RD32010",2
2010,"S2","RD1",13.8,86.2,"S2RD1","S2RD12010",3
2010,"S2","RD2",14,86,"S2RD2","S2RD22010",4
2010,"S2","RD3",7.5,92.5,"S2RD3","S2RD32010",5
2010,"S3","RD1",34.9,65.1,"S3RD1","S3RD12010",6
2010,"S3","RD2",16.5,83.5,"S3RD2","S3RD22010",7
2010,"S3","RD3",7.3,92.7,"S3RD3","S3RD32010",8
2010,"S4","RD1",1.4,98.6,"S4RD1","S4RD12010",9
2010,"S4","RD2",10.5,89.5,"S4RD2","S4RD22010",10
2010,"S4","RD3",13.4,86.6,"S4RD3","S4RD32010",11
2010,"S5","RD1",33.8,66.2,"S5RD1","S5RD12010",12
2010,"S5","RD2",21.5,78.5,"S5RD2","S5RD22010",13
2010,"S5","RD3",7.5,92.5,"S5RD3","S5RD32010",14
2011,"S1","RD1",55.7,44.3,"S1RD1","S1RD12011",0
2011,"S1","RD2",44.6,55.4,"S1RD2","S1RD22011",1
2011,"S1","RD3",9.1,90.9,"S1RD3","S1RD32011",2
2011,"S2","RD1",22.6,77.4,"S2RD1","S2RD12011",3
2011,"S2","RD2",47.6,52.4,"S2RD2","S2RD22011",4
2011,"S2","RD3",5.7,94.3,"S2RD3","S2RD32011",5
2011,"S3","RD1",23.9,76.1,"S3RD1","S3RD12011",6
2011,"S3","RD2",31.6,68.4,"S3RD2","S3RD22011",7
2011,"S3","RD3",25.5,74.5,"S3RD3","S3RD32011",8
2011,"S4","RD1",17.1,82.9,"S4RD1","S4RD12011",9
2011,"S4","RD2",32,68,"S4RD2","S4RD22011",10
2011,"S4","RD3",17.2,82.8,"S4RD3","S4RD32011",11
2011,"S5","RD1",48.5,51.5,"S5RD1","S5RD12011",12
2011,"S5","RD2",35,65,"S5RD2","S5RD22011",13
2011,"S5","RD3",6.8,93.2,"S5RD3","S5RD32011",14
2012,"S1","RD1",28.3,71.7,"S1RD1","S1RD12012",0
2012,"S1","RD2",50.7,49.3,"S1RD2","S1RD22012",1
2012,"S1","RD3",15.8,84.2,"S1RD3","S1RD32012",2
2012,"S2","RD1",10.6,89.4,"S2RD1","S2RD12012",3
2012,"S2","RD2",33.5,66.5,"S2RD2","S2RD22012",4
2012,"S2","RD3",13.9,86.1,"S2RD3","S2RD32012",5
2012,"S3","RD1",3.5,96.5,"S3RD1","S3RD12012",6
2012,"S3","RD2",46.4,53.6,"S3RD2","S3RD22012",7
2012,"S3","RD3",24.1,75.9,"S3RD3","S3RD32012",8
2012,"S4","RD1",0.9,99.1,"S4RD1","S4RD12012",9
2012,"S4","RD2",6.4,93.6,"S4RD2","S4RD22012",10
2012,"S4","RD3",30.3,69.7,"S4RD3","S4RD32012",11
2012,"S5","RD1",49.1,50.9,"S5RD1","S5RD12012",12
2012,"S5","RD2",15,85,"S5RD2","S5RD22012",13
2012,"S5","RD3",2.4,97.6,"S5RD3","S5RD32012",14
2013,"S1","RD1",26.9,73.1,"S1RD1","S1RD12013",0
2013,"S1","RD2",50.3,49.7,"S1RD2","S1RD22013",1
2013,"S1","RD3",16.9,83.1,"S1RD3","S1RD32013",2
2013,"S2","RD1",21.1,78.9,"S2RD1","S2RD12013",3
2013,"S2","RD2",37.4,62.6,"S2RD2","S2RD22013",4
2013,"S2","RD3",14.4,85.6,"S2RD3","S2RD32013",5
2013,"S3","RD1",9.6,90.4,"S3RD1","S3RD12013",6
2013,"S3","RD2",31.9,68.1,"S3RD2","S3RD22013",7
2013,"S3","RD3",5.3,94.7,"S3RD3","S3RD32013",8
2013,"S4","RD1",2.5,97.5,"S4RD1","S4RD12013",9
2013,"S4","RD2",15,85,"S4RD2","S4RD22013",10
2013,"S4","RD3",4.9,95.1,"S4RD3","S4RD32013",11
2013,"S5","RD1",22.3,77.7,"S5RD1","S5RD12013",12
2013,"S5","RD2",17.8,82.2,"S5RD2","S5RD22013",13
2013,"S5","RD3",6.7,93.3,"S5RD3","S5RD32013",14
2014,"S1","RD1",5.5,94.5,"S1RD1","S1RD12014",0
2014,"S1","RD2",66.3,33.7,"S1RD2","S1RD22014",1
2014,"S1","RD3",8,92,"S1RD3","S1RD32014",2
2014,"S2","RD1",4.3,95.7,"S2RD1","S2RD12014",3
2014,"S2","RD2",42,58,"S2RD2","S2RD22014",4
2014,"S2","RD3",8.9,91.1,"S2RD3","S2RD32014",5
2014,"S3","RD1",4.1,95.9,"S3RD1","S3RD12014",6
2014,"S3","RD2",47.9,52.1,"S3RD2","S3RD22014",7
2014,"S3","RD3",39,61,"S3RD3","S3RD32014",8
2014,"S4","RD1",0.3,99.7,"S4RD1","S4RD12014",9
2014,"S4","RD2",8.9,91.1,"S4RD2","S4RD22014",10
2014,"S4","RD3",2.8,97.2,"S4RD3","S4RD32014",11
2014,"S5","RD1",12,88,"S5RD1","S5RD12014",12
2014,"S5","RD2",15,85,"S5RD2","S5RD22014",13
2014,"S5","RD3",20.7,79.3,"S5RD3","S5RD32014",14
2015,"S1","RD1",52.6,47.4,"S1RD1","S1RD12015",0
2015,"S1","RD2",28.4,71.6,"S1RD2","S1RD22015",1
2015,"S1","RD3",21.8,78.2,"S1RD3","S1RD32015",2
2015,"S2","RD1",41.6,58.4,"S2RD1","S2RD12015",3
2015,"S2","RD2",26,74,"S2RD2","S2RD22015",4
2015,"S2","RD3",10.7,89.3,"S2RD3","S2RD32015",5
2015,"S3","RD1",6.1,93.9,"S3RD1","S3RD12015",6
2015,"S3","RD2",37.5,62.5,"S3RD2","S3RD22015",7
2015,"S3","RD3",16.2,83.8,"S3RD3","S3RD32015",8
2015,"S4","RD1",0.6,99.4,"S4RD1","S4RD12015",9
2015,"S4","RD2",9.8,90.2,"S4RD2","S4RD22015",10
2015,"S4","RD3",12.5,87.5,"S4RD3","S4RD32015",11
2015,"S5","RD1",33.2,66.8,"S5RD1","S5RD12015",12
2015,"S5","RD2",33.8,66.2,"S5RD2","S5RD22015",13
2015,"S5","RD3",20.1,79.9,"S5RD3","S5RD32015",14
2016,"S1","RD1",31.2,68.8,"S1RD1","S1RD12016",0
2016,"S1","RD2",39.9,60.1,"S1RD2","S1RD22016",1
2016,"S1","RD3",29.1,70.9,"S1RD3","S1RD32016",2
2016,"S2","RD1",19.2,80.8,"S2RD1","S2RD12016",3
2016,"S2","RD2",37.7,62.3,"S2RD2","S2RD22016",4
2016,"S2","RD3",15.6,84.4,"S2RD3","S2RD32016",5
2016,"S3","RD1",10.5,89.5,"S3RD1","S3RD12016",6
2016,"S3","RD2",32.9,67.1,"S3RD2","S3RD22016",7
2016,"S3","RD3",28.4,71.6,"S3RD3","S3RD32016",8
2016,"S4","RD1",4.7,95.3,"S4RD1","S4RD12016",9
2016,"S4","RD2",15.4,84.6,"S4RD2","S4RD22016",10
2016,"S4","RD3",6.1,93.9,"S4RD3","S4RD32016",11
2016,"S5","RD1",6.6,93.4,"S5RD1","S5RD12016",12
2016,"S5","RD2",46.4,53.6,"S5RD2","S5RD22016",13
2016,"S5","RD3",10.9,89.1,"S5RD3","S5RD32016",14
2017,"S1","RD1",27.7,72.3,"S1RD1","S1RD12017",0
2017,"S1","RD2",33.3,66.7,"S1RD2","S1RD22017",1
2017,"S1","RD3",11.4,88.6,"S1RD3","S1RD32017",2
2017,"S2","RD1",47.6,52.4,"S2RD1","S2RD12017",3
2017,"S2","RD2",39.4,60.6,"S2RD2","S2RD22017",4
2017,"S2","RD3",37,63,"S2RD3","S2RD32017",5
2017,"S3","RD1",32.4,67.6,"S3RD1","S3RD12017",6
2017,"S3","RD2",26.4,73.6,"S3RD2","S3RD22017",7
2017,"S3","RD3",18.4,81.6,"S3RD3","S3RD32017",8
2017,"S4","RD1",25.6,74.4,"S4RD1","S4RD12017",9
2017,"S4","RD2",57.4,42.6,"S4RD2","S4RD22017",10
2017,"S4","RD3",17.8,82.2,"S4RD3","S4RD32017",11
2017,"S5","RD1",18,82,"S5RD1","S5RD12017",12
2017,"S5","RD2",78.1,21.9,"S5RD2","S5RD22017",13
2017,"S5","RD3",2,98,"S5RD3","S5RD32017",14
2018,"S1","RD1",15.6,84.4,"S1RD1","S1RD12018",0
2018,"S1","RD2",40.4,59.6,"S1RD2","S1RD22018",1
2018,"S1","RD3",30,70,"S1RD3","S1RD32018",2
2018,"S2","RD1",25.8,74.2,"S2RD1","S2RD12018",3
2018,"S2","RD2",38.7,61.3,"S2RD2","S2RD22018",4
2018,"S2","RD3",11.5,88.5,"S2RD3","S2RD32018",5
2018,"S3","RD1",40.4,59.6,"S3RD1","S3RD12018",6
2018,"S3","RD2",36.4,63.6,"S3RD2","S3RD22018",7
2018,"S3","RD3",23.1,76.9,"S3RD3","S3RD32018",8
2018,"S4","RD1",20.4,79.6,"S4RD1","S4RD12018",9
2018,"S4","RD2",56.5,43.5,"S4RD2","S4RD22018",10
2018,"S4","RD3",8.8,91.2,"S4RD3","S4RD32018",11
2018,"S5","RD1",31.4,68.6,"S5RD1","S5RD12018",12
2018,"S5","RD2",66.9,33.1,"S5RD2","S5RD22018",13
2018,"S5","RD3",25.2,74.8,"S5RD3","S5RD32018",14
2019,"S1","RD1",40.9,59.1,"S1RD1","S1RD12019",0
2019,"S1","RD2",60.4,39.6,"S1RD2","S1RD22019",1
2019,"S1","RD3",2.3,97.7,"S1RD3","S1RD32019",2
2019,"S2","RD1",30.3,69.7,"S2RD1","S2RD12019",3
2019,"S2","RD2",62.8,37.2,"S2RD2","S2RD22019",4
2019,"S2","RD3",22.1,77.9,"S2RD3","S2RD32019",5
2019,"S3","RD1",33.4,66.6,"S3RD1","S3RD12019",6
2019,"S3","RD2",69.7,30.3,"S3RD2","S3RD22019",7
2019,"S3","RD3",37.9,62.1,"S3RD3","S3RD32019",8
2019,"S4","RD1",30,70,"S4RD1","S4RD12019",9
2019,"S4","RD2",64.9,35.1,"S4RD2","S4RD22019",10
2019,"S4","RD3",19,81,"S4RD3","S4RD32019",11
2019,"S5","RD1",42.8,57.2,"S5RD1","S5RD12019",12
2019,"S5","RD2",67.5,32.5,"S5RD2","S5RD22019",13
2019,"S5","RD3",44.8,55.2,"S5RD3","S5RD32019",14
2020,"S1","RD1",43.5,56.5,"S1RD1","S1RD12020",0
2020,"S1","RD2",70.3,29.7,"S1RD2","S1RD22020",1
2020,"S1","RD3",20.2,79.8,"S1RD3","S1RD32020",2
2020,"S2","RD1",21.1,78.9,"S2RD1","S2RD12020",3
2020,"S2","RD2",44.2,55.8,"S2RD2","S2RD22020",4
2020,"S2","RD3",20.7,79.3,"S2RD3","S2RD32020",5
2020,"S3","RD1",23.4,76.6,"S3RD1","S3RD12020",6
2020,"S3","RD2",37.1,62.9,"S3RD2","S3RD22020",7
2020,"S3","RD3",24.8,75.2,"S3RD3","S3RD32020",8
2020,"S4","RD1",12.6,87.4,"S4RD1","S4RD12020",9
2020,"S4","RD2",55.7,44.3,"S4RD2","S4RD22020",10
2020,"S4","RD3",18.9,81.1,"S4RD3","S4RD32020",11
2020,"S5","RD1",29.2,70.8,"S5RD1","S5RD12020",12
2020,"S5","RD2",53.5,46.5,"S5RD2","S5RD22020",13
2020,"S5","RD3",40.1,59.9,"S5RD3","S5RD32020",14
